点数:10
已知点数:1
II01,412.7516
未知点数:9
G1
G2
G3
G4
G5
G6
G7
G8
G9
观测数:19
II01,G2,-5.805,3
G2,G1,-6.8755,11
G1,II01,12.6845,14
II01,G2,-5.806,3
G2,G3,14.922,9
G3,G4,11.289,5
G4,G5,1.8745,2
G5,G6,-12.845,6
G6,G7,-9.1995,5
G7,G8,-13.7705,7
G8,G9,-10.12,6
G9,G8,10.122,8
G8,G7,13.775,10
G7,G6,9.2005,5
G6,G5,12.8495,6
G5,G4,-1.8745,3
G4,G3,-11.292,6
G3,G2,-14.9225,9
G2,II01,5.8055,3
